Stkcd,Reptdt,num_of_dir
300108,2013/12/31,7
300181,2013/12/31,9
300044,2013/12/31,9
300267,2013/12/31,9
300286,2013/12/31,7
300228,2013/12/31,8
300263,2013/12/31,9
300054,2013/12/31,9
300213,2013/12/31,11
300074,2013/12/31,8
300032,2013/12/31,9
300165,2013/12/31,9
300062,2013/12/31,7
300169,2013/12/31,8
300144,2013/12/31,9
300010,2013/12/31,11
300011,2013/12/31,9
300014,2013/12/31,7
300039,2013/12/31,9
300113,2013/12/31,9
300143,2013/12/31,5
300148,2013/12/31,5
300174,2013/12/31,5
300278,2013/12/31,9
300294,2013/12/31,7
300146,2013/12/31,7
300050,2013/12/31,7
300358,2013/12/31,9
300360,2013/12/31,9
300052,2013/12/31,7
300184,2013/12/31,7
300046,2013/12/31,11
300085,2013/12/31,7
300140,2013/12/31,9
300253,2013/12/31,7
300019,2013/12/31,7
300084,2013/12/31,7
300127,2013/12/31,9
300190,2013/12/31,9
300227,2013/12/31,7
300295,2013/12/31,5
300298,2013/12/31,7
300292,2013/12/31,7
300204,2013/12/31,8
300172,2013/12/31,8
300095,2013/12/31,9
300110,2013/12/31,11
300159,2013/12/31,6
300349,2013/12/31,9
300035,2013/12/31,9
300124,2013/12/31,9
300247,2013/12/31,9
300119,2013/12/31,9
300342,2013/12/31,8
300233,2013/12/31,9
300017,2013/12/31,9
300002,2013/12/31,11
300068,2013/12/31,9
300145,2013/12/31,7
300238,2013/12/31,7
300284,2013/12/31,7
300341,2013/12/31,5
300347,2013/12/31,7
300177,2013/12/31,7
300030,2013/12/31,9
300116,2013/12/31,7
300383,2013/12/31,7
300231,2013/12/31,5
300008,2013/12/31,9
300126,2013/12/31,9
300199,2013/12/31,9
300237,2013/12/31,5
300274,2013/12/31,8
300334,2013/12/31,7
300336,2013/12/31,6
300225,2013/12/31,6
300241,2013/12/31,9
300304,2013/12/31,9
300015,2013/12/31,7
300216,2013/12/31,9
300303,2013/12/31,7
300104,2013/12/31,5
300210,2013/12/31,7
300101,2013/12/31,9
300289,2013/12/31,9
300112,2013/12/31,7
300354,2013/12/31,7
300249,2013/12/31,5
300103,2013/12/31,7
300125,2013/12/31,9
300003,2013/12/31,7
300154,2013/12/31,9
300037,2013/12/31,9
300275,2013/12/31,7
300221,2013/12/31,9
300218,2013/12/31,12
300363,2013/12/31,9
300042,2013/12/31,9
300114,2013/12/31,9
300224,2013/12/31,9
300041,2013/12/31,9
300339,2013/12/31,9
300212,2013/12/31,8
300047,2013/12/31,11
300138,2013/12/31,9
300105,2013/12/31,12
300301,2013/12/31,9
300001,2013/12/31,9
300115,2013/12/31,7
300320,2013/12/31,9
300078,2013/12/31,7
300067,2013/12/31,9
300251,2013/12/31,8
300072,2013/12/31,11
300006,2013/12/31,7
300254,2013/12/31,9
300321,2013/12/31,8
300371,2013/12/31,9
300092,2013/12/31,9
300009,2013/12/31,12
300306,2013/12/31,7
300097,2013/12/31,7
300200,2013/12/31,7
300027,2013/12/31,9
300264,2013/12/31,9
300121,2013/12/31,6
300296,2013/12/31,9
300071,2013/12/31,8
300379,2013/12/31,11
300250,2013/12/31,7
300117,2013/12/31,7
300088,2013/12/31,11
300152,2013/12/31,7
300134,2013/12/31,5
300256,2013/12/31,9
300099,2013/12/31,8
300310,2013/12/31,9
300338,2013/12/31,8
300259,2013/12/31,9
300222,2013/12/31,9
300070,2013/12/31,9
300229,2013/12/31,7
300194,2013/12/31,9
300261,2013/12/31,9
300043,2013/12/31,7
300348,2013/12/31,9
300375,2013/12/31,7
300120,2013/12/31,9
300091,2013/12/31,9
300188,2013/12/31,7
300319,2013/12/31,9
300163,2013/12/31,7
300322,2013/12/31,9
300018,2013/12/31,5
300158,2013/12/31,9
300234,2013/12/31,7
300193,2013/12/31,7
300147,2013/12/31,9
300223,2013/12/31,6
300331,2013/12/31,8
300324,2013/12/31,7
300153,2013/12/31,9
300179,2013/12/31,9
300007,2013/12/31,9
300248,2013/12/31,9
300343,2013/12/31,8
300141,2013/12/31,7
300162,2013/12/31,7
300272,2013/12/31,6
300215,2013/12/31,9
300327,2013/12/31,7
300034,2013/12/31,8
300281,2013/12/31,7
300291,2013/12/31,9
300255,2013/12/31,9
300056,2013/12/31,9
300209,2013/12/31,7
300107,2013/12/31,9
300021,2013/12/31,9
300329,2013/12/31,7
300202,2013/12/31,9
300051,2013/12/31,7
300087,2013/12/31,9
300196,2013/12/31,9
300118,2013/12/31,9
300368,2013/12/31,9
300016,2013/12/31,9
300066,2013/12/31,9
300373,2013/12/31,7
300230,2013/12/31,8
300244,2013/12/31,9
300036,2013/12/31,9
300048,2013/12/31,9
300203,2013/12/31,6
300257,2013/12/31,7
300282,2013/12/31,7
300186,2013/12/31,11
300381,2013/12/31,7
300090,2013/12/31,10
300370,2013/12/31,9
300026,2013/12/31,9
300356,2013/12/31,9
300132,2013/12/31,5
300012,2013/12/31,9
300314,2013/12/31,9
300129,2013/12/31,11
300024,2013/12/31,9
300359,2013/12/31,9
300340,2013/12/31,9
300150,2013/12/31,9
300246,2013/12/31,9
300211,2013/12/31,7
300176,2013/12/31,9
300245,2013/12/31,9
300058,2013/12/31,9
300206,2013/12/31,7
300076,2013/12/31,8
300214,2013/12/31,9
300151,2013/12/31,7
300136,2013/12/31,9
300345,2013/12/31,6
300313,2013/12/31,9
300325,2013/12/31,9
300352,2013/12/31,9
300073,2013/12/31,9
300086,2013/12/31,7
