Stkcd,Reptdt,Salary
300108,2013/12/31,300000
300181,2013/12/31,1121500
300044,2013/12/31,987400
300267,2013/12/31,1110000
300286,2013/12/31,810800
300228,2013/12/31,3143512.3
300263,2013/12/31,800000
300054,2013/12/31,480000
300213,2013/12/31,1516500
300074,2013/12/31,1020000
300032,2013/12/31,840000
300165,2013/12/31,1502800
300062,2013/12/31,1176100
300169,2013/12/31,1170000
300144,2013/12/31,1188000
300010,2013/12/31,1408300
300011,2013/12/31,1233000
300014,2013/12/31,1072000
300039,2013/12/31,1430000
300113,2013/12/31,1115200
300143,2013/12/31,881400
300148,2013/12/31,450000
300174,2013/12/31,310000
300278,2013/12/31,579600
300294,2013/12/31,1080000
300146,2013/12/31,1965000
300050,2013/12/31,796300
300358,2013/12/31,626900
300360,2013/12/31,1784500
300052,2013/12/31,730000
300184,2013/12/31,1731200
300046,2013/12/31,783900
300085,2013/12/31,360000
300140,2013/12/31,888000
300253,2013/12/31,921000
300019,2013/12/31,1666600
300084,2013/12/31,1853700
300127,2013/12/31,1626400
300190,2013/12/31,1653700
300227,2013/12/31,1148400
300295,2013/12/31,2803900
300298,2013/12/31,693855
300292,2013/12/31,566400
300204,2013/12/31,966700
300172,2013/12/31,847500
300095,2013/12/31,454500
300110,2013/12/31,1780400
300159,2013/12/31,1246200
300349,2013/12/31,996200
300035,2013/12/31,305400
300124,2013/12/31,3089600
300247,2013/12/31,648400
300119,2013/12/31,1380000
300342,2013/12/31,888000
300233,2013/12/31,2447700
300017,2013/12/31,2629000
300002,2013/12/31,1284900
300068,2013/12/31,642800
300145,2013/12/31,853000
300238,2013/12/31,1778000
300284,2013/12/31,2364900
300341,2013/12/31,1580886.86
300347,2013/12/31,1555600
300177,2013/12/31,1097500
300030,2013/12/31,1086900
300116,2013/12/31,1010000
300383,2013/12/31,1250900
300231,2013/12/31,1394400
300008,2013/12/31,704000
300126,2013/12/31,810000
300199,2013/12/31,2737700
300237,2013/12/31,324000
300274,2013/12/31,1890000
300334,2013/12/31,497900
300336,2013/12/31,1400000
300225,2013/12/31,1553300
300241,2013/12/31,1449500
300304,2013/12/31,841300
300015,2013/12/31,1200000
300216,2013/12/31,806800
300303,2013/12/31,1664731.5
300104,2013/12/31,1680000
300210,2013/12/31,468000
300101,2013/12/31,1423600
300289,2013/12/31,5405000
300112,2013/12/31,1348900
300354,2013/12/31,778100
300249,2013/12/31,720000
300103,2013/12/31,731964.71
300125,2013/12/31,988400
300003,2013/12/31,785600
300154,2013/12/31,1757000
300037,2013/12/31,2483900
300275,2013/12/31,1535000
300221,2013/12/31,1397300
300218,2013/12/31,3237300
300363,2013/12/31,3280800
300042,2013/12/31,1887500
300114,2013/12/31,1170900
300224,2013/12/31,961200
300041,2013/12/31,700000
300339,2013/12/31,1283500
300212,2013/12/31,1381000
300047,2013/12/31,2271400
300138,2013/12/31,549900
300105,2013/12/31,1960000
300301,2013/12/31,900000
300001,2013/12/31,1424900
300115,2013/12/31,1238000
300320,2013/12/31,900000
300078,2013/12/31,726400
300067,2013/12/31,999300
300251,2013/12/31,2006500
300072,2013/12/31,4006900
300006,2013/12/31,460500
300254,2013/12/31,1920000
300321,2013/12/31,869000
300371,2013/12/31,1052300
300092,2013/12/31,565300
300009,2013/12/31,942000
300306,2013/12/31,1088700
300097,2013/12/31,1011100
300200,2013/12/31,1026200
300027,2013/12/31,3299140
300264,2013/12/31,786700
300121,2013/12/31,604400
300296,2013/12/31,816800
300071,2013/12/31,1149000
300379,2013/12/31,1814000
300250,2013/12/31,557800
300117,2013/12/31,595200
