Stkcd,Reptdt,Dual
300108,2013/12/31,1
300181,2013/12/31,2
300044,2013/12/31,2
300267,2013/12/31,1
300286,2013/12/31,1
300228,2013/12/31,2
300263,2013/12/31,2
300054,2013/12/31,2
300213,2013/12/31,2
300074,2013/12/31,2
300032,2013/12/31,1
300165,2013/12/31,2
300062,2013/12/31,2
300169,2013/12/31,1
300144,2013/12/31,2
300010,2013/12/31,1
300011,2013/12/31,2
300014,2013/12/31,1
300039,2013/12/31,2
300113,2013/12/31,1
300143,2013/12/31,1
300148,2013/12/31,2
300174,2013/12/31,2
300278,2013/12/31,2
300294,2013/12/31,2
300146,2013/12/31,2
300050,2013/12/31,2
300358,2013/12/31,1
300360,2013/12/31,1
300052,2013/12/31,1
300184,2013/12/31,1
300046,2013/12/31,1
300085,2013/12/31,2
300140,2013/12/31,2
300253,2013/12/31,2
300019,2013/12/31,2
300084,2013/12/31,1
300127,2013/12/31,2
300190,2013/12/31,1
300227,2013/12/31,1
300295,2013/12/31,2
300298,2013/12/31,1
300292,2013/12/31,2
300204,2013/12/31,2
300172,2013/12/31,2
300095,2013/12/31,2
300110,2013/12/31,2
300159,2013/12/31,1
300349,2013/12/31,1
300035,2013/12/31,2
300124,2013/12/31,1
300247,2013/12/31,1
300119,2013/12/31,1
300342,2013/12/31,2
300233,2013/12/31,2
300017,2013/12/31,1
300002,2013/12/31,2
300068,2013/12/31,2
300145,2013/12/31,2
300238,2013/12/31,2
300284,2013/12/31,2
300341,2013/12/31,2
300347,2013/12/31,1
300177,2013/12/31,2
300030,2013/12/31,1
300116,2013/12/31,2
300383,2013/12/31,1
300231,2013/12/31,1
300008,2013/12/31,1
300126,2013/12/31,1
300199,2013/12/31,2
300237,2013/12/31,2
300274,2013/12/31,1
300334,2013/12/31,2
300336,2013/12/31,1
300225,2013/12/31,1
300241,2013/12/31,1
300304,2013/12/31,1
300015,2013/12/31,2
300216,2013/12/31,1
300303,2013/12/31,1
300104,2013/12/31,1
300210,2013/12/31,2
300101,2013/12/31,2
300289,2013/12/31,1
300112,2013/12/31,2
300354,2013/12/31,2
300249,2013/12/31,2
300103,2013/12/31,1
300125,2013/12/31,2
300003,2013/12/31,2
300154,2013/12/31,1
300037,2013/12/31,2
300275,2013/12/31,1
