Stkcd,Reptdt,Indcd,Code,Date
300108,2013/12/31,C26,300108,2013/12/31
300181,2013/12/31,C27,300181,2013/12/31
300044,2013/12/31,I65,300044,2013/12/31
300267,2013/12/31,C27,300267,2013/12/31
300286,2013/12/31,C40,300286,2013/12/31
300228,2013/12/31,C35,300228,2013/12/31
300263,2013/12/31,C34,300263,2013/12/31
300054,2013/12/31,C26,300054,2013/12/31
300074,2013/12/31,I65,300074,2013/12/31
300032,2013/12/31,C38,300032,2013/12/31
300213,2013/12/31,C39,300213,2013/12/31
300165,2013/12/31,C40,300165,2013/12/31
300169,2013/12/31,C29,300169,2013/12/31
300062,2013/12/31,C38,300062,2013/12/31
300144,2013/12/31,N78,300144,2013/12/31
300146,2013/12/31,C14,300146,2013/12/31
300294,2013/12/31,C27,300294,2013/12/31
300174,2013/12/31,C26,300174,2013/12/31
300113,2013/12/31,I64,300113,2013/12/31
300014,2013/12/31,C38,300014,2013/12/31
300011,2013/12/31,C37,300011,2013/12/31
300143,2013/12/31,A01,300143,2013/12/31
300010,2013/12/31,I65,300010,2013/12/31
300148,2013/12/31,R85,300148,2013/12/31
300039,2013/12/31,C27,300039,2013/12/31
300278,2013/12/31,C35,300278,2013/12/31
300050,2013/12/31,I65,300050,2013/12/31
300358,2013/12/31,C35,300358,2013/12/31
300052,2013/12/31,I65,300052,2013/12/31
300360,2013/12/31,C40,300360,2013/12/31
300046,2013/12/31,C39,300046,2013/12/31
300184,2013/12/31,F51,300184,2013/12/31
300253,2013/12/31,I65,300253,2013/12/31
300140,2013/12/31,C38,300140,2013/12/31
300019,2013/12/31,C26,300019,2013/12/31
300085,2013/12/31,I65,300085,2013/12/31
300127,2013/12/31,C39,300127,2013/12/31
300295,2013/12/31,I64,300295,2013/12/31
300227,2013/12/31,C39,300227,2013/12/31
300190,2013/12/31,N77,300190,2013/12/31
300084,2013/12/31,B11,300084,2013/12/31
300298,2013/12/31,C35,300298,2013/12/31
300204,2013/12/31,C27,300204,2013/12/31
300172,2013/12/31,N77,300172,2013/12/31
300292,2013/12/31,C39,300292,2013/12/31
300095,2013/12/31,C35,300095,2013/12/31
300159,2013/12/31,C35,300159,2013/12/31
300110,2013/12/31,C27,300110,2013/12/31
300349,2013/12/31,C40,300349,2013/12/31
300035,2013/12/31,C35,300035,2013/12/31
300124,2013/12/31,C38,300124,2013/12/31
300247,2013/12/31,C38,300247,2013/12/31
300233,2013/12/31,C27,300233,2013/12/31
300342,2013/12/31,C38,300342,2013/12/31
300119,2013/12/31,C27,300119,2013/12/31
300017,2013/12/31,I65,300017,2013/12/31
300002,2013/12/31,I65,300002,2013/12/31
300341,2013/12/31,C38,300341,2013/12/31
300145,2013/12/31,C34,300145,2013/12/31
300284,2013/12/31,M74,300284,2013/12/31
300238,2013/12/31,C35,300238,2013/12/31
300068,2013/12/31,C38,300068,2013/12/31
300347,2013/12/31,M73,300347,2013/12/31
300231,2013/12/31,I65,300231,2013/12/31
300030,2013/12/31,C35,300030,2013/12/31
300116,2013/12/31,C41,300116,2013/12/31
300177,2013/12/31,C39,300177,2013/12/31
300383,2013/12/31,I64,300383,2013/12/31
300336,2013/12/31,R86,300336,2013/12/31
300274,2013/12/31,C38,300274,2013/12/31
300334,2013/12/31,C35,300334,2013/12/31
300126,2013/12/31,C34,300126,2013/12/31
300199,2013/12/31,C27,300199,2013/12/31
300237,2013/12/31,C36,300237,2013/12/31
300008,2013/12/31,M74,300008,2013/12/31
300225,2013/12/31,C26,300225,2013/12/31
300304,2013/12/31,C36,300304,2013/12/31
300241,2013/12/31,C39,300241,2013/12/31
300015,2013/12/31,Q83,300015,2013/12/31
300216,2013/12/31,C35,300216,2013/12/31
300303,2013/12/31,C39,300303,2013/12/31
300101,2013/12/31,C39,300101,2013/12/31
300210,2013/12/31,C35,300210,2013/12/31
300104,2013/12/31,I64,300104,2013/12/31
300289,2013/12/31,C27,300289,2013/12/31
300221,2013/12/31,C29,300221,2013/12/31
300354,2013/12/31,C40,300354,2013/12/31
300112,2013/12/31,C40,300112,2013/12/31
300103,2013/12/31,C35,300103,2013/12/31
300249,2013/12/31,C35,300249,2013/12/31
300125,2013/12/31,M74,300125,2013/12/31
300003,2013/12/31,C35,300003,2013/12/31
300154,2013/12/31,C34,300154,2013/12/31
300037,2013/12/31,C26,300037,2013/12/31
300275,2013/12/31,I65,300275,2013/12/31
300224,2013/12/31,C30,300224,2013/12/31
300212,2013/12/31,I65,300212,2013/12/31
300254,2013/12/31,C27,300254,2013/12/31
300339,2013/12/31,I65,300339,2013/12/31
300092,2013/12/31,C35,300092,2013/12/31
300047,2013/12/31,I65,300047,2013/12/31
300138,2013/12/31,C13,300138,2013/12/31
300218,2013/12/31,C29,300218,2013/12/31
300042,2013/12/31,C39,300042,2013/12/31
300363,2013/12/31,C27,300363,2013/12/31
300114,2013/12/31,C39,300114,2013/12/31
300041,2013/12/31,C26,300041,2013/12/31
300320,2013/12/31,C29,300320,2013/12/31
300067,2013/12/31,C26,300067,2013/12/31
300072,2013/12/31,C26,300072,2013/12/31
300251,2013/12/31,R86,300251,2013/12/31
300105,2013/12/31,C34,300105,2013/12/31
300301,2013/12/31,C39,300301,2013/12/31
300321,2013/12/31,C29,300321,2013/12/31
300371,2013/12/31,C40,300371,2013/12/31
300306,2013/12/31,C40,300306,2013/12/31
300009,2013/12/31,C27,300009,2013/12/31
300006,2013/12/31,C27,300006,2013/12/31
300078,2013/12/31,C39,300078,2013/12/31
300001,2013/12/31,C38,300001,2013/12/31
300115,2013/12/31,C39,300115,2013/12/31
300264,2013/12/31,I65,300264,2013/12/31
300296,2013/12/31,C39,300296,2013/12/31
300121,2013/12/31,C26,300121,2013/12/31
300097,2013/12/31,C35,300097,2013/12/31
300027,2013/12/31,R86,300027,2013/12/31
300200,2013/12/31,C26,300200,2013/12/31
300071,2013/12/31,L72,300071,2013/12/31
300379,2013/12/31,I65,300379,2013/12/31
300088,2013/12/31,C39,300088,2013/12/31
300117,2013/12/31,E50,300117,2013/12/31
300099,2013/12/31,C35,300099,2013/12/31
300120,2013/12/31,C38,300120,2013/12/31
300259,2013/12/31,C40,300259,2013/12/31
300338,2013/12/31,C40,300338,2013/12/31
300310,2013/12/31,I63,300310,2013/12/31
300229,2013/12/31,I65,300229,2013/12/31
300194,2013/12/31,C27,300194,2013/12/31
300261,2013/12/31,C26,300261,2013/12/31
300188,2013/12/31,I65,300188,2013/12/31
300250,2013/12/31,C39,300250,2013/12/31
300375,2013/12/31,C29,300375,2013/12/31
300319,2013/12/31,C39,300319,2013/12/31
300070,2013/12/31,N77,300070,2013/12/31
300348,2013/12/31,I65,300348,2013/12/31
300152,2013/12/31,C34,300152,2013/12/31
300091,2013/12/31,C34,300091,2013/12/31
300134,2013/12/31,C39,300134,2013/12/31
300256,2013/12/31,C39,300256,2013/12/31
300222,2013/12/31,C38,300222,2013/12/31
300043,2013/12/31,C24,300043,2013/12/31
300163,2013/12/31,C41,300163,2013/12/31
300007,2013/12/31,C40,300007,2013/12/31
300141,2013/12/31,C38,300141,2013/12/31
300248,2013/12/31,I65,300248,2013/12/31
300322,2013/12/31,C39,300322,2013/12/31
300331,2013/12/31,C39,300331,2013/12/31
300147,2013/12/31,C27,300147,2013/12/31
