Stkcd,Reptdt,Lev,Cash
300108,2013/12/31,0.145618,0.427291
300181,2013/12/31,0.179829,0.180095
300044,2013/12/31,0.363618,0.008358
300267,2013/12/31,0.078098,1.87009
300286,2013/12/31,0.098606,1.779964
300228,2013/12/31,0.659586,-0.08038
300263,2013/12/31,0.302773,0.020908
300054,2013/12/31,0.18995,0.392749
300074,2013/12/31,0.046227,2.258447
300032,2013/12/31,0.30059,-0.05336
300213,2013/12/31,0.289336,0.232592
300165,2013/12/31,0.065686,-0.134471
300169,2013/12/31,0.442689,-0.121401
300062,2013/12/31,0.218873,0.196787
300144,2013/12/31,0.079132,1.590745
300146,2013/12/31,0.090639,3.13129
300294,2013/12/31,0.157143,0.970409
300174,2013/12/31,0.149108,-0.121097
300113,2013/12/31,0.303441,0.607783
300014,2013/12/31,0.294663,0.850051
300011,2013/12/31,0.184642,0.129875
300143,2013/12/31,0.37803,0.046893
300010,2013/12/31,0.289958,0.138653
300148,2013/12/31,0.145368,0.580876
300039,2013/12/31,0.093018,1.760466
300278,2013/12/31,0.353386,-0.081099
300050,2013/12/31,0.082136,0.149945
300358,2013/12/31,0.57695,
300052,2013/12/31,0.285768,0.469227
300360,2013/12/31,0.440581,
300046,2013/12/31,0.085376,0.981157
300184,2013/12/31,0.112185,-0.323291
300253,2013/12/31,0.149991,0.497759
300140,2013/12/31,0.155075,-0.115575
300019,2013/12/31,0.16928,0.554705
300085,2013/12/31,0.024386,-0.322453
300127,2013/12/31,0.072608,0.482482
300295,2013/12/31,0.11243,2.358781
300227,2013/12/31,0.263922,0.294439
300190,2013/12/31,0.172131,-0.258392
300084,2013/12/31,0.263378,0.341382
300298,2013/12/31,0.097936,1.122807
300204,2013/12/31,0.162776,0.49758
300172,2013/12/31,0.281885,0.283816
300292,2013/12/31,0.315203,0.042012
300095,2013/12/31,0.233093,-0.14554
300159,2013/12/31,0.121282,1.321734
300110,2013/12/31,0.383437,0.05879
300349,2013/12/31,0.229333,0.297443
300035,2013/12/31,0.222851,0.063548
300124,2013/12/31,0.147996,1.090859
300247,2013/12/31,0.125081,0.367995
300233,2013/12/31,0.351636,0.179178
300342,2013/12/31,0.121392,0.305534
300119,2013/12/31,0.141224,0.362066
300017,2013/12/31,0.181921,1.509892
300002,2013/12/31,0.132699,0.84858
300341,2013/12/31,0.102121,0.593239
