Stkcd,Reptdt,Num_of_meet
300108,2013/12/31,9
300181,2013/12/31,4
300044,2013/12/31,11
300267,2013/12/31,13
300228,2013/12/31,11
300286,2013/12/31,11
300263,2013/12/31,10
300054,2013/12/31,5
300032,2013/12/31,5
300074,2013/12/31,6
300213,2013/12/31,5
300165,2013/12/31,6
300062,2013/12/31,10
300169,2013/12/31,9
300144,2013/12/31,12
300010,2013/12/31,18
300011,2013/12/31,9
300014,2013/12/31,9
300039,2013/12/31,4
300113,2013/12/31,7
300143,2013/12/31,12
300146,2013/12/31,12
300148,2013/12/31,7
300174,2013/12/31,9
300278,2013/12/31,12
300294,2013/12/31,13
300050,2013/12/31,8
300358,2013/12/31,8
300052,2013/12/31,10
300360,2013/12/31,7
300046,2013/12/31,5
300184,2013/12/31,8
300019,2013/12/31,9
300085,2013/12/31,9
300140,2013/12/31,8
300253,2013/12/31,6
300084,2013/12/31,7
300127,2013/12/31,7
300172,2013/12/31,6
300190,2013/12/31,12
300227,2013/12/31,9
300292,2013/12/31,12
300295,2013/12/31,8
300298,2013/12/31,12
300095,2013/12/31,10
300110,2013/12/31,11
300159,2013/12/31,5
300349,2013/12/31,11
300035,2013/12/31,5
300124,2013/12/31,9
300247,2013/12/31,7
300017,2013/12/31,8
300119,2013/12/31,8
300233,2013/12/31,6
300342,2013/12/31,7
300002,2013/12/31,20
300068,2013/12/31,8
300145,2013/12/31,9
300284,2013/12/31,11
300238,2013/12/31,9
300341,2013/12/31,9
300347,2013/12/31,11
300030,2013/12/31,8
300116,2013/12/31,9
300177,2013/12/31,11
300231,2013/12/31,7
300383,2013/12/31,5
300008,2013/12/31,7
300126,2013/12/31,5
300199,2013/12/31,5
300237,2013/12/31,7
300274,2013/12/31,11
300334,2013/12/31,7
300336,2013/12/31,6
300225,2013/12/31,7
300241,2013/12/31,13
300304,2013/12/31,9
300015,2013/12/31,14
300101,2013/12/31,8
300104,2013/12/31,24
300210,2013/12/31,9
300216,2013/12/31,13
300289,2013/12/31,5
300303,2013/12/31,6
300003,2013/12/31,8
300037,2013/12/31,7
300042,2013/12/31,6
300047,2013/12/31,7
300092,2013/12/31,7
300103,2013/12/31,8
300112,2013/12/31,6
300125,2013/12/31,8
300138,2013/12/31,10
300154,2013/12/31,7
300212,2013/12/31,10
300218,2013/12/31,9
300221,2013/12/31,9
