Stkcd,Reptdt,RDSpendSum
300001,2015/12/31,100201114.2
300002,2015/12/31,217190807.1
300003,2015/12/31,172445847.4
300004,2015/12/31,38505021.64
300005,2015/12/31,74568983.05
300006,2015/12/31,65843411.17
300007,2015/12/31,47914829.07
300008,2015/12/31,14243077.92
300009,2015/12/31,42194234.49
300010,2015/12/31,72726059.54
300011,2015/12/31,67081969.22
300012,2015/12/31,108416710.4
300013,2015/12/31,14070491.66
300014,2015/12/31,70518196.21
300015,2015/12/31,18099594.01
300016,2015/12/31,38281667.61
300017,2015/12/31,280700394.2
300018,2015/12/31,41591973.94
300019,2015/12/31,25196739.92
300020,2015/12/31,117401098.5
300021,2015/12/31,13289756.38
300024,2015/12/31,84193884.04
300025,2015/12/31,56845122.25
300026,2015/12/31,115404472.8
300027,2015/12/31,92987500.45
300028,2015/12/31,11188132.27
300030,2015/12/31,48031499.66
300031,2015/12/31,16707084.74
300032,2015/12/31,100217284.7
300034,2015/12/31,33210538.09
300035,2015/12/31,12277804.94
300036,2015/12/31,84901941.07
300037,2015/12/31,72687953.11
300038,2015/12/31,58044545.07
300039,2015/12/31,58776142.75
300040,2015/12/31,28988186.74
300041,2015/12/31,50136406.45
300042,2015/12/31,12442330.06
300043,2015/12/31,77123252.09
300044,2015/12/31,30182229.01
300045,2015/12/31,99036810.51
300046,2015/12/31,12400626.53
300047,2015/12/31,178071098.8
300048,2015/12/31,64815392.81
300049,2015/12/31,57083519.72
300050,2015/12/31,69389824.32
300051,2015/12/31,25170013.84
300052,2015/12/31,131245337.7
300053,2015/12/31,22640340.16
300054,2015/12/31,47251882.52
300055,2015/12/31,39070752.1
300056,2015/12/31,29058869.06
300057,2015/12/31,67415683.46
300058,2015/12/31,93573996.68
300061,2015/12/31,22138520.14
300062,2015/12/31,33720688.66
300063,2015/12/31,19127751.95
300065,2015/12/31,39098801.34
300066,2015/12/31,18498251.94
300067,2015/12/31,34859887.67
300068,2015/12/31,158190000
300069,2015/12/31,10928010.69
300070,2015/12/31,154001557.1
300071,2015/12/31,6914138.23
300072,2015/12/31,132519181.5
300073,2015/12/31,39871709.11
300074,2015/12/31,64281857.61
300075,2015/12/31,57268941.05
300076,2015/12/31,11869507.11
300077,2015/12/31,135570620
300078,2015/12/31,51587668.56
300079,2015/12/31,252539317.7
300080,2015/12/31,62499250.75
300081,2015/12/31,27158671.01
300082,2015/12/31,138306685.6
300083,2015/12/31,123712200
300084,2015/12/31,19394318.73
300085,2015/12/31,53605516.09
300086,2015/12/31,30060143.93
300087,2015/12/31,24515834.99
300088,2015/12/31,44255488.17
300089,2015/12/31,10494138.55
300090,2015/12/31,32046279.58
300091,2015/12/31,29654342.71
300092,2015/12/31,8623519.59
300093,2015/12/31,19878397.72
300094,2015/12/31,37485000
300095,2015/12/31,28674894.55
300096,2015/12/31,63386041.79
300097,2015/12/31,16829239.4
300098,2015/12/31,61833241.44
300099,2015/12/31,18920221.98
300100,2015/12/31,72270802.17
300101,2015/12/31,70156447.07
300102,2015/12/31,54589401.2
300103,2015/12/31,9844233.49
300104,2015/12/31,1224120437
300105,2015/12/31,89646921.69
300106,2015/12/31,22937191.95
300107,2015/12/31,14012285.61
300108,2015/12/31,15394734.81
300109,2015/12/31,12745947.68
300110,2015/12/31,54007259.85
300111,2015/12/31,51218312.94
300112,2015/12/31,39138907.11
300113,2015/12/31,139977090
300114,2015/12/31,65075552.31
300115,2015/12/31,261805422.8
300116,2015/12/31,12533494.98
300117,2015/12/31,64199950.43
300118,2015/12/31,167943300
300119,2015/12/31,72909929.69
300120,2015/12/31,15999629.93
300121,2015/12/31,28881881.21
300122,2015/12/31,74219552.74
300123,2015/12/31,24784550.64
300124,2015/12/31,258571879.2
300125,2015/12/31,8797016.15
300126,2015/12/31,30972520.37
300127,2015/12/31,19097107.39
300128,2015/12/31,63849176.48
300129,2015/12/31,58132414.56
300130,2015/12/31,131493087.6
300131,2015/12/31,21255674.2
300132,2015/12/31,17927967.97
300134,2015/12/31,147296068.6
300135,2015/12/31,58039066.41
300136,2015/12/31,61143443.06
300137,2015/12/31,31752967.28
300138,2015/12/31,57546372.95
300139,2015/12/31,29332594.04
300140,2015/12/31,18384638.82
300141,2015/12/31,12224305.71
300142,2015/12/31,267633087.1
300143,2015/12/31,3552965.85
300144,2015/12/31,10886732.25
300145,2015/12/31,72181785.31
300146,2015/12/31,64077828.84
300147,2015/12/31,93462554.01
300148,2015/12/31,38426415.63
300149,2015/12/31,20264314.99
300150,2015/12/31,18314068.75
300151,2015/12/31,29916897.31
300152,2015/12/31,52947635.84
300153,2015/12/31,31328542.43
300154,2015/12/31,28319633.84
300155,2015/12/31,99874358.19
300156,2015/12/31,43125600.74
300157,2015/12/31,55236666.69
300158,2015/12/31,62608203.59
300159,2015/12/31,61275755.04
300160,2015/12/31,35380593.7
300161,2015/12/31,150109103.6
300162,2015/12/31,25901345.14
300163,2015/12/31,12013610.4
300164,2015/12/31,13453310.12
300165,2015/12/31,39753823.55
300166,2015/12/31,129614326.9
300167,2015/12/31,22172533.04
300168,2015/12/31,343439021.4
300169,2015/12/31,26408520.71
300170,2015/12/31,128737891.5
300171,2015/12/31,83153364
300172,2015/12/31,23081447.45
300173,2015/12/31,27616921.31
300174,2015/12/31,13072524.74
300175,2015/12/31,366916
300176,2015/12/31,45628715.18
300177,2015/12/31,82932264.43
300178,2015/12/31,29086979.68
300179,2015/12/31,17147810.59
300180,2015/12/31,37282948.48
300181,2015/12/31,22493163.95
300182,2015/12/31,125715208
300183,2015/12/31,105119644.7
300184,2015/12/31,11125594.94
300185,2015/12/31,64439038.39
300187,2015/12/31,22025573.95
300188,2015/12/31,111352153.4
300189,2015/12/31,41784117.11
300190,2015/12/31,42441610.12
300191,2015/12/31,13303222.58
300192,2015/12/31,21099834.47
300193,2015/12/31,38935976.38
300194,2015/12/31,51844118.61
300195,2015/12/31,64425259.14
300196,2015/12/31,58240397.57
300197,2015/12/31,102902352.8
300198,2015/12/31,20610690.35
300199,2015/12/31,51786301.68
300200,2015/12/31,34468079.4
300201,2015/12/31,44167266.85
300202,2015/12/31,64741187.85
300203,2015/12/31,170151317.5
300204,2015/12/31,56095536.36
300205,2015/12/31,138978137.8
300206,2015/12/31,145807265.4
300207,2015/12/31,228094129.5
300208,2015/12/31,43572013.9
300209,2015/12/31,59324759.29
300210,2015/12/31,20066400.68
300211,2015/12/31,13462425.97
300212,2015/12/31,131174423.7
300213,2015/12/31,63542280.88
300214,2015/12/31,45067640.69
300215,2015/12/31,37429186.68
300216,2015/12/31,31621277.11
300217,2015/12/31,34816553.06
300218,2015/12/31,76891471.94
300219,2015/12/31,71039264.19
300220,2015/12/31,10743815.59
300221,2015/12/31,46522849.48
300222,2015/12/31,72438616.54
300223,2015/12/31,51001797.22
300224,2015/12/31,82689697.87
300225,2015/12/31,27544564.06
300226,2015/12/31,25528268.31
300227,2015/12/31,10517758.44
300228,2015/12/31,78661749.06
300229,2015/12/31,93131020.51
300230,2015/12/31,30267146.48
300231,2015/12/31,24649449.25
300232,2015/12/31,52027900.26
300233,2015/12/31,61011381.17
300234,2015/12/31,23538995.58
300235,2015/12/31,17629680.27
300236,2015/12/31,29993757.39
300237,2015/12/31,64891131.85
300238,2015/12/31,24839752.65
300239,2015/12/31,10245463.98
300240,2015/12/31,27086800
300241,2015/12/31,40327929.86
300242,2015/12/31,16340334
300243,2015/12/31,29074666.4
300244,2015/12/31,78182399.17
300245,2015/12/31,43772092.5
300246,2015/12/31,25768191.01
300247,2015/12/31,23683996.26
300248,2015/12/31,46543999.48
300249,2015/12/31,48351120.63
300250,2015/12/31,33638913.1
300252,2015/12/31,54420415.18
300253,2015/12/31,89247024.25
300254,2015/12/31,33693770.04
300255,2015/12/31,40312161.87
300256,2015/12/31,139473287.5
300257,2015/12/31,49313852.76
300258,2015/12/31,35857562.28
300259,2015/12/31,18211452.91
300260,2015/12/31,18138694.97
300261,2015/12/31,54179291.87
300262,2015/12/31,10309577.77
300263,2015/12/31,35934850.85
300264,2015/12/31,35020635.48
300265,2015/12/31,44389245
300266,2015/12/31,34974131.62
300267,2015/12/31,75646529.11
300269,2015/12/31,45731041.62
300270,2015/12/31,36478489.74
300271,2015/12/31,184611685.5
300272,2015/12/31,22719209.63
300273,2015/12/31,42941304.53
300274,2015/12/31,146877002.5
300275,2015/12/31,38475301.8
300276,2015/12/31,17496411.32
300277,2015/12/31,23466278.29
300278,2015/12/31,59535671.12
300279,2015/12/31,23678723.11
300280,2015/12/31,9789872.67
300281,2015/12/31,12160488.37
300282,2015/12/31,61151590.82
300283,2015/12/31,25890666.16
300284,2015/12/31,119076391.3
300285,2015/12/31,35030041.23
300286,2015/12/31,27872798.06
300287,2015/12/31,57846259.85
300288,2015/12/31,38124347.56
300289,2015/12/31,29428054.71
300290,2015/12/31,31861578.82
300292,2015/12/31,56068105.97
300293,2015/12/31,29986882.77
300294,2015/12/31,30612289.47
300295,2015/12/31,31098148.71
300296,2015/12/31,110608660.3
300297,2015/12/31,91510986.69
300298,2015/12/31,38963376.27
300299,2015/12/31,36027181.33
300300,2015/12/31,60423640.55
300301,2015/12/31,79509705.87
300302,2015/12/31,18685677.37
300303,2015/12/31,41080319.58
300304,2015/12/31,32436641.76
300305,2015/12/31,21453661.2
300306,2015/12/31,23978553.04
300307,2015/12/31,52879185.95
300308,2015/12/31,6497679.09
300310,2015/12/31,60879205.27
300311,2015/12/31,53333511.83
300312,2015/12/31,71346288.05
300313,2015/12/31,3522234.19
300314,2015/12/31,11515046.94
300315,2015/12/31,246863164.3
300316,2015/12/31,48384356.26
300317,2015/12/31,28929981.68
300318,2015/12/31,38790315.21
300319,2015/12/31,22643330.6
300320,2015/12/31,27867060.6
300321,2015/12/31,15025273.32
300322,2015/12/31,91348292.45
300323,2015/12/31,104974438.6
300324,2015/12/31,41908008.21
300325,2015/12/31,58927809.05
300326,2015/12/31,46123077.31
300327,2015/12/31,72695838.1
300328,2015/12/31,31339810.9
300329,2015/12/31,26923053.89
300330,2015/12/31,8074953.99
300331,2015/12/31,42007150.75
300332,2015/12/31,16730516.68
300333,2015/12/31,50310581.83
300334,2015/12/31,68619122.64
300335,2015/12/31,21491510.97
300337,2015/12/31,48222445.7
300338,2015/12/31,26601836.48
300339,2015/12/31,107028572.5
300340,2015/12/31,15121529.06
300341,2015/12/31,32252656.2
300342,2015/12/31,22806860.4
300343,2015/12/31,14657787.97
300344,2015/12/31,12964968.37
300345,2015/12/31,22460064.9
300346,2015/12/31,29447004.03
300347,2015/12/31,27538737.24
300348,2015/12/31,25380934.14
300349,2015/12/31,35506459.21
300350,2015/12/31,27128193.23
300351,2015/12/31,32126075.49
300352,2015/12/31,58597959.08
300353,2015/12/31,46206200.18
300354,2015/12/31,15670187.86
300355,2015/12/31,16555508
300356,2015/12/31,44002117.97
300357,2015/12/31,16452139.56
300358,2015/12/31,98936806.17
300359,2015/12/31,16220541.03
300360,2015/12/31,48693941.19
300362,2015/12/31,5150085.35
300363,2015/12/31,50344386.1
300364,2015/12/31,67291967.05
300365,2015/12/31,40068232.9
300366,2015/12/31,29826735.42
300368,2015/12/31,39370964.28
300369,2015/12/31,219289326.6
300370,2015/12/31,30403047
300371,2015/12/31,11118738.1
300372,2015/12/31,11277017.19
300373,2015/12/31,28257417.86
300374,2015/12/31,5156187.04
300375,2015/12/31,32772977.59
300376,2015/12/31,133407292.3
300377,2015/12/31,94546445.9
300378,2015/12/31,119530017.2
300379,2015/12/31,49037566.04
300380,2015/12/31,64327298.02
300381,2015/12/31,37573017.82
300382,2015/12/31,17476100
300383,2015/12/31,19626904.84
300384,2015/12/31,15801450.51
300385,2015/12/31,15723345.8
300386,2015/12/31,101252829.8
300387,2015/12/31,17914799
300388,2015/12/31,24541975.93
300389,2015/12/31,37773202.86
300390,2015/12/31,14898793.07
300391,2015/12/31,21541010.57
300392,2015/12/31,58480489.89
300393,2015/12/31,23468038.37
300394,2015/12/31,14827479.12
300395,2015/12/31,16263475.58
300396,2015/12/31,50091359.11
300397,2015/12/31,48830234.64
300398,2015/12/31,33284898.74
300399,2015/12/31,10789122.46
300400,2015/12/31,20112097.12
300401,2015/12/31,14387845.07
