Stkcd,Reptdt,Roa
300108,2013/12/31,0.06264
300181,2013/12/31,0.089694
300044,2013/12/31,0.036343
300267,2013/12/31,0.1443
300286,2013/12/31,0.137704
300228,2013/12/31,0.090267
300263,2013/12/31,0.069765
300054,2013/12/31,0.077806
300074,2013/12/31,0.101932
300032,2013/12/31,0.008191
300213,2013/12/31,0.050896
300165,2013/12/31,0.036001
300169,2013/12/31,-0.062391
300062,2013/12/31,0.045663
300144,2013/12/31,0.092796
300146,2013/12/31,0.184948
300294,2013/12/31,0.092443
300174,2013/12/31,0.009284
300113,2013/12/31,0.094995
300014,2013/12/31,0.148184
300011,2013/12/31,0.064092
300143,2013/12/31,-0.164465
300010,2013/12/31,0.063566
300148,2013/12/31,0.032923
300039,2013/12/31,0.191372
300278,2013/12/31,0.021605
300050,2013/12/31,-0.04642
300358,2013/12/31,0.147644
300052,2013/12/31,0.049957
300360,2013/12/31,0.217909
300046,2013/12/31,0.044068
300184,2013/12/31,0.034675
300253,2013/12/31,0.114956
300140,2013/12/31,0.012714
300019,2013/12/31,0.110393
300085,2013/12/31,0.02717
300127,2013/12/31,0.052325
300295,2013/12/31,0.140606
300227,2013/12/31,0.046627
300190,2013/12/31,0.024644
300084,2013/12/31,0.033496
300298,2013/12/31,0.165721
300204,2013/12/31,0.072989
300172,2013/12/31,0.060559
300292,2013/12/31,0.033807
300095,2013/12/31,0.068291
300159,2013/12/31,0.09234
300110,2013/12/31,0.058538
300349,2013/12/31,0.128669
300035,2013/12/31,0.068556
300124,2013/12/31,0.168166
300247,2013/12/31,0.025132
300233,2013/12/31,0.042419
300342,2013/12/31,0.121496
300119,2013/12/31,0.080725
300017,2013/12/31,0.199782
300002,2013/12/31,0.134029
300341,2013/12/31,0.079041
300145,2013/12/31,0.099688
300284,2013/12/31,0.063968
300238,2013/12/31,0.07281
300068,2013/12/31,0.037181
300347,2013/12/31,0.122981
300231,2013/12/31,0.105635
300030,2013/12/31,0.062499
300116,2013/12/31,0.008477
300177,2013/12/31,0.102995
300383,2013/12/31,0.176625
300336,2013/12/31,0.104024
300274,2013/12/31,0.054361
300334,2013/12/31,0.08377
300126,2013/12/31,0.055463
300199,2013/12/31,0.10773
300237,2013/12/31,0.031279
300008,2013/12/31,0.010891
300225,2013/12/31,0.083621
300304,2013/12/31,0.091384
300241,2013/12/31,0.069738
300015,2013/12/31,0.10834
300216,2013/12/31,0.077074
300303,2013/12/31,0.115626
300101,2013/12/31,-0.012718
300210,2013/12/31,0.094374
300104,2013/12/31,0.058671
300289,2013/12/31,0.092724
300221,2013/12/31,0.0123
300354,2013/12/31,0.048313
300112,2013/12/31,0.069456
300103,2013/12/31,0.070795
300249,2013/12/31,0.028659
300125,2013/12/31,0.015146
300003,2013/12/31,0.124744
300154,2013/12/31,0.055917
300037,2013/12/31,0.089655
300275,2013/12/31,0.149906
300224,2013/12/31,0.04158
300212,2013/12/31,0.054218
300254,2013/12/31,0.036584
300339,2013/12/31,0.080333
300092,2013/12/31,-0.041948
300047,2013/12/31,0.089816
300218,2013/12/31,0.052938
300138,2013/12/31,0.006931
300042,2013/12/31,0.006741
300363,2013/12/31,0.115896
300114,2013/12/31,0.079272
300041,2013/12/31,0.082439
300320,2013/12/31,0.081462
300067,2013/12/31,0.059181
300072,2013/12/31,0.07114
300251,2013/12/31,0.138155
300105,2013/12/31,0.070262
300301,2013/12/31,0.022608
300321,2013/12/31,0.038541
300371,2013/12/31,0.28717
300306,2013/12/31,0.091227
300009,2013/12/31,0.128135
300006,2013/12/31,0.035028
300078,2013/12/31,0.06909
300001,2013/12/31,0.067202
300115,2013/12/31,0.104384
300264,2013/12/31,0.026111
300296,2013/12/31,0.073078
300121,2013/12/31,0.01662
300097,2013/12/31,0.050297
300027,2013/12/31,0.118613
300200,2013/12/31,0.0606
300071,2013/12/31,0.089473
300379,2013/12/31,0.170067
300088,2013/12/31,0.130498
300117,2013/12/31,0.023829
300099,2013/12/31,0.084325
300120,2013/12/31,0.050047
300259,2013/12/31,0.131765
300338,2013/12/31,0.057077
