Stkcd,Reptdt,Shrcr
300328,2013/12/31,0.5906
300328,2014/12/31,0.5906
300286,2013/12/31,0.2199
300286,2014/12/31,0.2199
300044,2013/12/31,0.1953
300044,2014/12/31,0.1963
300116,2013/12/31,0.4078
300116,2014/12/31,0.4078
300024,2013/12/31,0.2737
300024,2014/12/31,0.2737
300025,2013/12/31,0.1447
300025,2014/12/31,0.1405
300120,2013/12/31,0.1915
300120,2014/12/31,0.1919
300095,2013/12/31,0.3203
300095,2014/12/31,0.3189
300096,2013/12/31,0.2673
300096,2014/12/31,0.2598
300045,2013/12/31,0.2149
300045,2014/12/31,0.2132
300046,2013/12/31,0.4966
300046,2014/12/31,0.4474
300047,2013/12/31,0.1461
300047,2014/12/31,0.1383
300097,2013/12/31,0.5
300097,2014/12/31,0.4504
300098,2013/12/31,0.481
300098,2014/12/31,0.4214
300099,2013/12/31,0.3916
300099,2014/12/31,0.3771
300100,2013/12/31,0.5875
300100,2014/12/31,0.4965
300101,2013/12/31,0.3833
300101,2014/12/31,0.3833
300048,2013/12/31,0.2714
300048,2014/12/31,0.2714
300121,2013/12/31,0.5125
300121,2014/12/31,0.4947
300131,2013/12/31,0.3069
300131,2014/12/31,0.3092
300132,2013/12/31,0.3206
300132,2014/12/31,0.2434
300062,2013/12/31,0.2656
300062,2014/12/31,0.2542
300063,2013/12/31,0.4255
300063,2014/12/31,0.4255
300065,2013/12/31,0.1846
300065,2014/12/31,0.1846
300006,2013/12/31,0.254
300006,2014/12/31,0.254
300007,2013/12/31,0.2687
300007,2014/12/31,0.2164
300008,2013/12/31,0.2582
300008,2014/12/31,0.2257
300026,2013/12/31,0.2528
300026,2014/12/31,0.247
300027,2013/12/31,0.239
300027,2014/12/31,0.2328
300009,2013/12/31,0.3013
300009,2014/12/31,0.3013
300010,2013/12/31,0.2691
300010,2014/12/31,0.2223
300246,2013/12/31,0.3336
300246,2014/12/31,0.3336
300247,2013/12/31,0.3062
300247,2014/12/31,0.2246
300248,2013/12/31,0.2377
300248,2014/12/31,0.2377
300049,2013/12/31,0.1364
300049,2014/12/31,0.1001
300050,2013/12/31,0.3032
300050,2014/12/31,0.3032
300128,2013/12/31,0.5173
300128,2014/12/31,0.5177
300129,2013/12/31,0.0898
300129,2014/12/31,0.0898
300130,2013/12/31,0.3331
300130,2014/12/31,0.3331
300083,2013/12/31,0.5863
300083,2014/12/31,0.5616
300084,2013/12/31,0.2304
300084,2014/12/31,0.1998
300019,2013/12/31,0.2012
300019,2014/12/31,0.1957
300020,2013/12/31,0.3644
300020,2014/12/31,0.285
300021,2013/12/31,0.5107
300021,2014/12/31,0.5107
300179,2013/12/31,0.2826
300179,2014/12/31,0.2826
300180,2013/12/31,0.1487
300180,2014/12/31,0.1487
300284,2013/12/31,0.22083
300284,2014/12/31,0.21
300133,2013/12/31,0.3538
300133,2014/12/31,0.2992
300085,2013/12/31,0.23
300085,2014/12/31,0.2125
300086,2013/12/31,0.5819
300086,2014/12/31,0.5086
300087,2013/12/31,0.1139
300087,2014/12/31,0.1139
300176,2013/12/31,0.2923
300176,2014/12/31,0.2923
300177,2013/12/31,0.2992
300177,2014/12/31,0.2975
300287,2013/12/31,0.1987
300287,2014/12/31,0.1825
300143,2013/12/31,0.3654
300143,2014/12/31,0.3654
300144,2013/12/31,0.347
300144,2014/12/31,0.347
300145,2013/12/31,0.3747
300145,2014/12/31,0.3654
300146,2013/12/31,0.5749
300146,2014/12/31,0.5733
300178,2013/12/31,0.3288
300178,2014/12/31,0.329
300028,2013/12/31,0.2721
300028,2014/12/31,0.278
