Stkcd,Reptdt,Asset
300181,2013/12/31,941897223.3
300108,2013/12/31,465831664.2
300044,2013/12/31,1004720664
300267,2013/12/31,1447001098
300286,2013/12/31,509275104.7
300228,2013/12/31,3043820483
300263,2013/12/31,2053371234
300054,2013/12/31,1377453639
300074,2013/12/31,1051562246
300032,2013/12/31,1287391815
300213,2013/12/31,1110010762
300165,2013/12/31,1555067464
300062,2013/12/31,1032656562
300144,2013/12/31,3455816273
300146,2013/12/31,2455327971
300294,2013/12/31,1004469771
300174,2013/12/31,584703811.9
300113,2013/12/31,1260201229
300014,2013/12/31,1270129572
300011,2013/12/31,954582676.4
300143,2013/12/31,1034296453
300010,2013/12/31,1228661815
300148,2013/12/31,638604005.5
300039,2013/12/31,1770810468
300278,2013/12/31,846404194.2
300050,2013/12/31,1534896170
300358,2013/12/31,1076231044
300360,2013/12/31,849295201.1
300052,2013/12/31,1404836139
300184,2013/12/31,489030272.2
300253,2013/12/31,741311570.8
300140,2013/12/31,1026881720
300019,2013/12/31,670174825
300085,2013/12/31,535112376.4
300127,2013/12/31,1062517912
300295,2013/12/31,838170947.4
300227,2013/12/31,490599781.2
300190,2013/12/31,1179446486
300084,2013/12/31,900448728.9
300204,2013/12/31,1569471591
300172,2013/12/31,1223662603
300292,2013/12/31,683458992.8
300095,2013/12/31,1061293315
300159,2013/12/31,1172783768
300110,2013/12/31,2366899042
300349,2013/12/31,1033244693
300035,2013/12/31,1088841308
300247,2013/12/31,670026805.6
300124,2013/12/31,3795331510
300233,2013/12/31,1575802814
300342,2013/12/31,853607127.2
300119,2013/12/31,2003141023
300017,2013/12/31,1391348212
300002,2013/12/31,4159961010
300341,2013/12/31,578365175.3
300347,2013/12/31,808010000.5
300068,2013/12/31,4231864748
300284,2013/12/31,3120919859
300238,2013/12/31,572518192.3
300383,2013/12/31,451812272.9
300116,2013/12/31,700563378.9
300030,2013/12/31,883080045.6
300336,2013/12/31,1171630627
300274,2013/12/31,3906167188
300334,2013/12/31,1044565952
300126,2013/12/31,1148446475
300199,2013/12/31,1288684263
300237,2013/12/31,979434022.6
300225,2013/12/31,979649332.2
300304,2013/12/31,1121646488
300241,2013/12/31,912772444.2
300015,2013/12/31,2118840830
300216,2013/12/31,1227490895
300303,2013/12/31,1259129499
300210,2013/12/31,1213325168
300101,2013/12/31,994863481.7
300104,2013/12/31,5020324966
300289,2013/12/31,1243983973
300221,2013/12/31,1047829157
300354,2013/12/31,342462277
300112,2013/12/31,584322930.1
300103,2013/12/31,940667473.4
300125,2013/12/31,1485610666
300003,2013/12/31,3128247648
300249,2013/12/31,698488306.1
300154,2013/12/31,1657773039
300037,2013/12/31,1447068849
300275,2013/12/31,738527838.9
300224,2013/12/31,1887906961
300254,2013/12/31,1090371164
300212,2013/12/31,2187719992
300218,2013/12/31,1560558579
300339,2013/12/31,1093508526
300363,2013/12/31,948091384.4
300138,2013/12/31,1631651239
300047,2013/12/31,1576229609
300092,2013/12/31,776714972.2
300042,2013/12/31,873057860.3
300114,2013/12/31,1177512124
300041,2013/12/31,1120332415
300320,2013/12/31,807379281.2
300251,2013/12/31,2590643886
300067,2013/12/31,890125110.2
300072,2013/12/31,3318254291
300105,2013/12/31,2966572834
300301,2013/12/31,1310464618
